LATIN_NAM,COMMON_NAM,SP_TYPE,HAB_USE,CEREALS,WNTR_CRLS,OILSEED,CORN,SOYBEANS,VEGETABLES,BERRIES,FRUIT_TREE,OTR_CRPS,SOD,PULSES,SUMMF,TAME,IMPAST,UNIMPAST,GRSSHRBWD,ANTHROP,WDLT_PLANT,WD_INTR,WD_NO_INT,SB_TREE,SB_GRS_HRB,RIP_WD,RIP_GRSHRB,RIP_AG,WTLD_W_MRG,WTLD_N_MAR,WTLD_OPWAT,WTLD_PEAT,WT_TS_SWMP,IDLE_LND
Sterna forsteri,Forster's Tern,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
Chlidonias niger,Black Tern,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,2,3,0,0
Columba livia,Rock Dove,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zenaida macroura,Mourning Dove,1,C,3,3,3,3,3,3,3,3,3,0,3,3,3,2,2,2,2,3,0,3,2,2,2,2,2,0,0,0,0,3,2
Coccyzus erythropthalmus,Black-billed Cuckoo,1,C,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,2,2,2,2,0,2,0,0,0,0,0,3,2,0
Coccyzus americanus,Yellow-billed Cuckoo,1,C,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,2,2,2,2,0,2,0,0,0,2,0,3,2,0
Tyto alba,Barn Owl,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Megascops asio,Eastern Screech-Owl,1,C,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,2,1,3,3,0,1,0,0,0,0,0,0,1,0
Bubo virginianus,Great Horned Owl,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,2,2,0,2,0,0,0,0,0,2,2,2
Bubo scandiacus,Snowy Owl,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surnia ulula,Northern Hawk Owl,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strix varia,Barred Owl,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,1,2,3,0,1,0,0,0,0,0,2,1,0
